country,country_slug,field,label,group,text,value,unit,as_of,status,age_months,sla_months,confidence,source_publisher,source_url,source_kind
Panama,panama,insReq,Health insurance required,Logistics,No — health cert only,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,renew,Visa renewal ease,Logistics,Permanent — visit 1×/2 yrs,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Panama,panama,deps,Provision for dependents,Logistics,Yes — +$250/mo pension each,,,2026-07,fresh,1,3,solid,"Servicio Nacional de Migración, Panama",https://www.migracion.gob.pa/,official
Malaysia,malaysia,costUsd,Cost of living,Living,1900,1900,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malaysia,malaysia,fly,Flight time from Australia,Logistics,8,8,hours,2026-07,fresh,1,24,high,Thon,https://thonretire.com/method,thon
Malaysia,malaysia,health,Healthcare quality,Living,8.7,8.7,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malaysia,malaysia,safety,Safety,Living,7.5,7.5,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malaysia,malaysia,score,Thon best-fit score,Thon composite,82,82,/100,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malaysia,malaysia,tax,Tax on foreign pension,Tax,0%,0,%,2026-07,fresh,1,3,high,"Lembaga Hasil Dalam Negeri (LHDN/IRB), Malaysia",https://www.hasil.gov.my/media/fzofh1gz/20240620-guidelines-tax-treatment-in-relation-to-income-received-from-abroad-amendment-june-2024.pdf,official
Malaysia,malaysia,inc,Min income / assets,Visa & Residency,US$150k FD + RM600k home,150000,USD,2026-07,fresh,1,3,high,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,visa,Retirement visa,Visa & Residency,MM2H (Silver),,,2026-07,fresh,1,3,solid,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,pr,Path to permanent residency,Visa & Residency,No PR route,,,2026-07,fresh,1,3,solid,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,inherit,Inheritance / estate tax,Tax,No inheritance tax,,,2026-07,fresh,1,24,solid,"Lembaga Hasil Dalam Negeri (LHDN/IRB), Malaysia",https://www.hasil.gov.my/media/fzofh1gz/20240620-guidelines-tax-treatment-in-relation-to-income-received-from-abroad-amendment-june-2024.pdf,official
Malaysia,malaysia,prop,Foreign property ownership,Finance & Property,Yes — RM600k buy mandatory,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Malaysia,malaysia,minAge,Minimum age,Visa & Residency,25+ (Silver tier),25,years,2026-07,fresh,1,3,high,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,taxResDays,Tax-residency threshold,Tax,182 days,182,days,2026-07,fresh,1,6,high,"Lembaga Hasil Dalam Negeri (LHDN/IRB), Malaysia",https://www.hasil.gov.my/media/fzofh1gz/20240620-guidelines-tax-treatment-in-relation-to-income-received-from-abroad-amendment-june-2024.pdf,official
Malaysia,malaysia,citPath,Path to citizenship,Visa & Residency,10–12 yrs; rarely granted,12,years,2026-07,fresh,1,3,high,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,deposit,Deposit / bond required,Finance & Property,US$150k FD — 50% out yr 2,150000,USD,2026-07,fresh,1,3,high,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,setupCost,Cost to establish residency,Finance & Property,~US$11–14k (agent + gov),11000,USD,2026-07,fresh,1,3,high,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,propTax,Annual property tax,Tax,Low — ~US$200–700/yr,,,2026-07,fresh,1,3,solid,"Lembaga Hasil Dalam Negeri (LHDN/IRB), Malaysia",https://www.hasil.gov.my/media/fzofh1gz/20240620-guidelines-tax-treatment-in-relation-to-income-received-from-abroad-amendment-june-2024.pdf,official
Malaysia,malaysia,cgt,Capital gains tax,Tax,0% foreign gains (individuals),0,%,2026-07,fresh,1,3,high,"Lembaga Hasil Dalam Negeri (LHDN/IRB), Malaysia",https://www.hasil.gov.my/media/fzofh1gz/20240620-guidelines-tax-treatment-in-relation-to-income-received-from-abroad-amendment-june-2024.pdf,official
Malaysia,malaysia,procTime,Visa processing time,Visa & Residency,1–3 mo (≤6 end-to-end),,,2026-07,fresh,1,6,solid,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,heirship,Forced-heirship rules,Finance & Property,None (non-Muslims),,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Malaysia,malaysia,insReq,Health insurance required,Logistics,Yes — private medical,,,2026-07,fresh,1,3,solid,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,renew,Visa renewal ease,Logistics,5-yr pass — easy,,,2026-07,fresh,1,3,solid,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Malaysia,malaysia,deps,Provision for dependents,Logistics,"Spouse, kids <34, parents",,,2026-07,fresh,1,3,solid,"MM2H Centre, Ministry of Tourism, Arts and Culture, Malaysia",https://www.mm2h.gov.my/,official
Thailand,thailand,costUsd,Cost of living,Living,1800,1800,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Thailand,thailand,fly,Flight time from Australia,Logistics,9,9,hours,2026-07,fresh,1,24,high,Thon,https://thonretire.com/method,thon
Thailand,thailand,health,Healthcare quality,Living,8.2,8.2,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Thailand,thailand,safety,Safety,Living,6.8,6.8,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Thailand,thailand,score,Thon best-fit score,Thon composite,84,84,/100,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Thailand,thailand,tax,Tax on foreign pension,Tax,0%,0,%,2026-07,fresh,1,3,high,"The Revenue Department, Thailand",https://www.rd.go.th/fileadmin/user_upload/lorkhor/newspr/2024/FOREIGNERS_PAY_TAX2024.pdf,official
Thailand,thailand,inc,Min income / assets,Visa & Residency,$80k/yr or 800k THB,80000,USD/yr,2026-07,fresh,1,3,high,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,visa,Retirement visa,Visa & Residency,LTR / Retirement O-A,,,2026-07,fresh,1,3,solid,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,pr,Path to permanent residency,Visa & Residency,Difficult,,,2026-07,fresh,1,3,solid,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,inherit,Inheritance / estate tax,Tax,5–10% above 100M THB,,,2026-07,fresh,1,24,solid,"The Revenue Department, Thailand",https://www.rd.go.th/fileadmin/user_upload/lorkhor/newspr/2024/FOREIGNERS_PAY_TAX2024.pdf,official
Thailand,thailand,prop,Foreign property ownership,Finance & Property,Condo only (no land),,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Thailand,thailand,minAge,Minimum age,Visa & Residency,50+ (LTR-WP & O-A),50,years,2026-07,fresh,1,3,high,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,taxResDays,Tax-residency threshold,Tax,180 days,180,days,2026-07,fresh,1,6,high,"The Revenue Department, Thailand",https://www.rd.go.th/fileadmin/user_upload/lorkhor/newspr/2024/FOREIGNERS_PAY_TAX2024.pdf,official
Thailand,thailand,citPath,Path to citizenship,Visa & Residency,5 yrs PR then naturalise — very rare,5,years,2026-07,fresh,1,3,high,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,deposit,Deposit / bond required,Finance & Property,O-A 800k THB; LTR none,800000,THB,2026-07,fresh,1,3,high,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,setupCost,Cost to establish residency,Finance & Property,O-A ~US$1–2k; LTR 50k THB fee,1000,USD,2026-07,fresh,1,3,high,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,propTax,Annual property tax,Tax,Low — ~0.02–0.3% building tax,0.02,%,2026-07,fresh,1,3,high,"The Revenue Department, Thailand",https://www.rd.go.th/fileadmin/user_upload/lorkhor/newspr/2024/FOREIGNERS_PAY_TAX2024.pdf,official
Thailand,thailand,cgt,Capital gains tax,Tax,Taxed if remitted; LTR-WP exempt,,,2026-07,fresh,1,3,solid,"The Revenue Department, Thailand",https://www.rd.go.th/fileadmin/user_upload/lorkhor/newspr/2024/FOREIGNERS_PAY_TAX2024.pdf,official
Thailand,thailand,procTime,Visa processing time,Visa & Residency,LTR ~1–2 mo; O-A 2–4 wks,,,2026-07,fresh,1,6,solid,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,heirship,Forced-heirship rules,Finance & Property,None with a will,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Thailand,thailand,insReq,Health insurance required,Logistics,O-A: 3M THB; LTR: $50k policy,,,2026-07,fresh,1,3,solid,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,renew,Visa renewal ease,Logistics,O-A yearly + 90-day reports; LTR 5+5,,,2026-07,fresh,1,3,solid,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Thailand,thailand,deps,Provision for dependents,Logistics,LTR: spouse + kids <20,,,2026-07,fresh,1,3,solid,"Board of Investment (BOI), Thailand",https://ltr.boi.go.th/,official
Cyprus,cyprus,costUsd,Cost of living,Living,2200,2200,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Cyprus,cyprus,fly,Flight time from Australia,Logistics,22,22,hours,2026-07,fresh,1,24,high,Thon,https://thonretire.com/method,thon
Cyprus,cyprus,health,Healthcare quality,Living,8,8,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Cyprus,cyprus,safety,Safety,Living,8.3,8.3,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Cyprus,cyprus,score,Thon best-fit score,Thon composite,78,78,/100,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Cyprus,cyprus,tax,Tax on foreign pension,Tax,0–5%,0,%,2026-07,fresh,1,3,high,"Tax Department, Ministry of Finance, Cyprus",https://mof.gov.cy/mof/tax/taxdep.nsf/0/f2a5610ba4f4c586c2258549002d6e1c?OpenDocument=,official
Cyprus,cyprus,inc,Min income / assets,Visa & Residency,~€9.6k/yr + €4.6k/dep,9600,EUR/yr,2026-07,fresh,1,3,high,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,visa,Retirement visa,Visa & Residency,Category F / Non-dom,,,2026-07,fresh,1,3,solid,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,pr,Path to permanent residency,Visa & Residency,On grant — long queue,,,2026-07,fresh,1,3,solid,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,inherit,Inheritance / estate tax,Tax,No inheritance tax,,,2026-07,fresh,1,24,solid,"Tax Department, Ministry of Finance, Cyprus",https://mof.gov.cy/mof/tax/taxdep.nsf/0/f2a5610ba4f4c586c2258549002d6e1c?OpenDocument=,official
Cyprus,cyprus,prop,Foreign property ownership,Finance & Property,Yes,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Cyprus,cyprus,minAge,Minimum age,Visa & Residency,None — income-based,18,years,2026-07,fresh,1,3,high,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,taxResDays,Tax-residency threshold,Tax,183 days (or 60-day rule),183,days,2026-07,fresh,1,6,high,"Tax Department, Ministry of Finance, Cyprus",https://mof.gov.cy/mof/tax/taxdep.nsf/0/f2a5610ba4f4c586c2258549002d6e1c?OpenDocument=,official
Cyprus,cyprus,citPath,Path to citizenship,Visa & Residency,7 of last 10 yrs,10,years,2026-07,fresh,1,3,high,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,deposit,Deposit / bond required,Finance & Property,Income proof + €15–20k in bank,15000,EUR,2026-07,fresh,1,3,high,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,setupCost,Cost to establish residency,Finance & Property,~€3–7k (€500 gov + legal),3000,EUR,2026-07,fresh,1,3,high,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,propTax,Annual property tax,Tax,Abolished 2017; minor local fees,,,2026-07,fresh,1,3,solid,"Tax Department, Ministry of Finance, Cyprus",https://mof.gov.cy/mof/tax/taxdep.nsf/0/f2a5610ba4f4c586c2258549002d6e1c?OpenDocument=,official
Cyprus,cyprus,cgt,Capital gains tax,Tax,0% foreign; 20% CY property only,0,%,2026-07,fresh,1,3,high,"Tax Department, Ministry of Finance, Cyprus",https://mof.gov.cy/mof/tax/taxdep.nsf/0/f2a5610ba4f4c586c2258549002d6e1c?OpenDocument=,official
Cyprus,cyprus,procTime,Visa processing time,Visa & Residency,Backlog ~5–7 yrs (2026),,,2026-07,fresh,1,6,solid,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,heirship,Forced-heirship rules,Finance & Property,Forced heirship; opt out via EU650 will,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Cyprus,cyprus,insReq,Health insurance required,Logistics,Yes,,,2026-07,fresh,1,3,solid,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,renew,Visa renewal ease,Logistics,None — permanent card,,,2026-07,fresh,1,3,solid,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Cyprus,cyprus,deps,Provision for dependents,Logistics,"Spouse + minors, +€4.6k/yr each",,,2026-07,fresh,1,3,solid,"Civil Registry and Migration Department, Ministry of Interior, Cyprus",https://www.moi.gov.cy/MOI/CRMD/crmd.nsf/All/9D72A377EC99B41CC22587D500443595?OpenDocument,official
Portugal,portugal,costUsd,Cost of living,Living,2600,2600,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Portugal,portugal,fly,Flight time from Australia,Logistics,24,24,hours,2026-07,fresh,1,24,high,Thon,https://thonretire.com/method,thon
Portugal,portugal,health,Healthcare quality,Living,9,9,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Portugal,portugal,safety,Safety,Living,8.5,8.5,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Portugal,portugal,score,Thon best-fit score,Thon composite,74,74,/100,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Portugal,portugal,tax,Tax on foreign pension,Tax,13–48%,13,%,2026-07,fresh,1,3,high,"Autoridade Tributária e Aduaneira — Portal das Finanças, Portugal",https://info.portaldasfinancas.gov.pt/en/tax-information/Pages/default.aspx,official
Portugal,portugal,inc,Min income / assets,Visa & Residency,"€920/mo (~$1,000)",920,EUR/mo,2026-07,fresh,1,3,high,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,visa,Retirement visa,Visa & Residency,D7 (Passive Income),,,2026-07,fresh,1,3,solid,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,pr,Path to permanent residency,Visa & Residency,5 yrs,,,2026-07,fresh,1,3,solid,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,inherit,Inheritance / estate tax,Tax,No inheritance tax (10% stamp exempt for kin),,,2026-07,fresh,1,24,solid,"Autoridade Tributária e Aduaneira — Portal das Finanças, Portugal",https://info.portaldasfinancas.gov.pt/en/tax-information/Pages/default.aspx,official
Portugal,portugal,prop,Foreign property ownership,Finance & Property,Yes,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Portugal,portugal,minAge,Minimum age,Visa & Residency,None (18+),18,years,2026-07,fresh,1,3,high,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,taxResDays,Tax-residency threshold,Tax,183 days or habitual home,183,days,2026-07,fresh,1,6,high,"Autoridade Tributária e Aduaneira — Portal das Finanças, Portugal",https://info.portaldasfinancas.gov.pt/en/tax-information/Pages/default.aspx,official
Portugal,portugal,citPath,Path to citizenship,Visa & Residency,10 yrs (2026 reform — was 5),10,years,2026-07,fresh,1,3,high,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,deposit,Deposit / bond required,Finance & Property,~€11k (12-mo income) in PT bank,11000,EUR,2026-07,fresh,1,3,high,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,setupCost,Cost to establish residency,Finance & Property,~€2–5k legal + fees,2000,EUR,2026-07,fresh,1,3,high,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,propTax,Annual property tax,Tax,IMI 0.3–0.45% + AIMI >€600k,0.3,%,2026-07,fresh,1,3,high,"Autoridade Tributária e Aduaneira — Portal das Finanças, Portugal",https://info.portaldasfinancas.gov.pt/en/tax-information/Pages/default.aspx,official
Portugal,portugal,cgt,Capital gains tax,Tax,28% shares — worldwide gains,28,%,2026-07,fresh,1,3,high,"Autoridade Tributária e Aduaneira — Portal das Finanças, Portugal",https://info.portaldasfinancas.gov.pt/en/tax-information/Pages/default.aspx,official
Portugal,portugal,procTime,Visa processing time,Visa & Residency,~60d visa; 6–9 mo to card,,,2026-07,fresh,1,6,solid,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,heirship,Forced-heirship rules,Finance & Property,Forced heirship; will can elect AU law,,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Portugal,portugal,insReq,Health insurance required,Logistics,Yes,,,2026-07,fresh,1,3,solid,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,renew,Visa renewal ease,Logistics,2 yrs then 3 — AIMA backlogs,,,2026-07,fresh,1,3,solid,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Portugal,portugal,deps,Provision for dependents,Logistics,Yes — +50% spouse income,,,2026-07,fresh,1,3,solid,"Agência para a Integração, Migrações e Asilo (AIMA), Portugal",https://aima.gov.pt/,official
Malta,malta,costUsd,Cost of living,Living,2600,2600,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malta,malta,fly,Flight time from Australia,Logistics,24,24,hours,2026-07,fresh,1,24,high,Thon,https://thonretire.com/method,thon
Malta,malta,health,Healthcare quality,Living,8.8,8.8,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malta,malta,safety,Safety,Living,8.4,8.4,/10,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malta,malta,score,Thon best-fit score,Thon composite,80,80,/100,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
Malta,malta,tax,Tax on foreign pension,Tax,15%,15,%,2026-07,fresh,1,3,high,"Commissioner for Revenue (CFR), Malta",https://cfr.gov.mt/en/individuals/Pages/Overseas-Pension.aspx,official
Malta,malta,inc,Min income / assets,Visa & Residency,Pension ≥75% of income,,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,visa,Retirement visa,Visa & Residency,Malta Retirement Prog.,,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,pr,Path to permanent residency,Visa & Residency,5 yrs,,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,inherit,Inheritance / estate tax,Tax,No inheritance tax (5% stamp),,,2026-07,fresh,1,24,solid,"Commissioner for Revenue (CFR), Malta",https://cfr.gov.mt/en/individuals/Pages/Overseas-Pension.aspx,official
Malta,malta,prop,Foreign property ownership,Finance & Property,Yes (AIP permit in areas),,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Malta,malta,minAge,Minimum age,Visa & Residency,55 (MRP),,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,taxResDays,Tax-residency threshold,Tax,183 days or ordinary residence,183,days,2026-07,fresh,1,6,high,"Commissioner for Revenue (CFR), Malta",https://cfr.gov.mt/en/individuals/Pages/Overseas-Pension.aspx,official
Malta,malta,citPath,Path to citizenship,Visa & Residency,~7 yrs — discretionary,7,years,2026-07,fresh,1,3,high,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,deposit,Deposit / bond required,Finance & Property,Buy €275k / rent €9.6k+,275000,EUR,2026-07,fresh,1,3,high,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,setupCost,Cost to establish residency,Finance & Property,~€6–10k (€2.5k fee + legal),6000,EUR,2026-07,fresh,1,3,high,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,propTax,Annual property tax,Tax,None annual; 5% duty on purchase,5,%,2026-07,fresh,1,3,high,"Commissioner for Revenue (CFR), Malta",https://cfr.gov.mt/en/individuals/Pages/Overseas-Pension.aspx,official
Malta,malta,cgt,Capital gains tax,Tax,0% foreign gains even if remitted,0,%,2026-07,fresh,1,3,high,"Commissioner for Revenue (CFR), Malta",https://cfr.gov.mt/en/individuals/Pages/Overseas-Pension.aspx,official
Malta,malta,procTime,Visa processing time,Visa & Residency,~3–4 months,,,2026-07,fresh,1,6,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,heirship,Forced-heirship rules,Finance & Property,Forced heirship; elect AU law (EU650),,,2026-07,fresh,1,24,solid,National civil and property code,,secondary
Malta,malta,insReq,Health insurance required,Logistics,Yes,,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,renew,Visa renewal ease,Logistics,Annual compliance — routine,,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Malta,malta,deps,Provision for dependents,Logistics,"Spouse + deps, +€500 tax each",,,2026-07,fresh,1,3,solid,"Residency Malta Agency, Malta",https://residencymalta.gov.mt/legal-framework-mprp-2/,official
Costa Rica,costa-rica,costUsd,Cost of living,Living,2000,2000,USD/mo,2026-07,fresh,1,6,high,Thon,https://thonretire.com/method,thon
